JOMP-14-33-g002	histological section of the right kidney showing a giant cell carcinoma in the dermis . <EOS>
ijms-40-277-g002	chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe with.chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe and.chest x-ray of the chest showing a large mass in the right lower lobe of the left lower lobe with
OL-07-06-1790-g02	histological section of the tumor showing a giant cell carcinoma in the dermis . <EOS>.histological section of the tumor showing a giant cell carcinoma in the dermis with a giant cell carcinoma . <EOS>
kjr-7-41-g001	chest x-ray showing a large right lower lobe mass in the right lower lobe of the right lower lobe with.chest x-ray showing a large right lower lobe mass in the right lower lobe of the right lower lobe and.chest x-ray showing a large right lower lobe mass in the right lower lobe of the left lower lobe with
AMS-4-110-g005	photograph of the right eye of the patient in a patient with a history of the left eye of the.photograph of the right eye of the patient in a patient with a history of the left eye of a.photograph of the right eye of the patient in a patient with a history of a patient with a large
10.1177_2325967113486441-fig5	preoperative x-ray of the left hip showing a large right hip and left lower lobe and left lower lobe <EOS>.preoperative x-ray of the left hip showing a large left hip and left lower lobe and left lower lobe <EOS>.preoperative x-ray of the left knee showing a large left hip and left lower lobe and left lower lobe <EOS>
WJNM-13-201-g002	ct scan of the abdomen showing a large mass in the right lower lobe with a large mass in the.ct scan of the abdomen showing a large mass in the right lower lobe with a large cystic mass in.ct scan of the abdomen showed a large mass in the right lower lobe with a large cystic mass in
cde0003-0013-f01	clinical photograph of the patient in a patient with a patient in a patient with a patient in a patient.clinical photograph of the patient in a patient with a patient in a patient with a patient in the patient.clinical photograph of the patient in a patient with a patient in a patient with a patient in the right
13014_2014_221_Fig2_HTML	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
peerj-03-858-g004	scanning electron micrograph of the surface of the surface of the surface of the surface of the surface of the.scanning electron micrograph of the surface of the surface of the surface of the surface of the surface of a.scanning electron micrograph of the surface of the surface of the surface of the surface of the left eye of
jkms-23-336-g004	intraoperative photograph of the right eye showing a large mass in the right upper lobe of the right lower lobe.intraoperative photograph of the right eye showing a large mass in the right upper lobe of the right upper lobe.intraoperative photograph of the right eye showing a large mass in the right upper lobe of the right eye with
IPRS-02-17-g-004	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
1471-2474-12-184-3	x-ray of the left knee showing a large left lower lobe mass in the right lower lobe of the right.x-ray of the left knee showing a large left lower lobe mass in the right lower lobe of the left.x-ray of the left knee showing a large left lower lobe mass in the right lower lobe and the right
CEJU-65-00177-g001	intraoperative view of the right eye of the patient in a patient with a history of a patient with a.intraoperative view of the right eye of the patient in a patient with a history of a patient in the.intraoperative view of the right eye of the patient in a patient with a history of a patient in a
CCD-3-514-g002	preoperative photograph <EOS>
jsls-9-1-83-g04	intraoperative view of the right eye showing a large cystic mass in the right upper lobe of the right lower.intraoperative view of the right eye showing a large cystic mass in the right upper lobe of the right upper.intraoperative view of the right eye showing a large cystic mass in the right upper lobe of the left lower
1756-0500-6-142-2	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
sensors-13-07599f10	axial and coronal t2-weighted images of the brain in a patient with a high signal intensity in the right frontal.axial and coronal t2-weighted images of the brain in a patient with a high signal intensity in the right lobe.axial and coronal t2-weighted images of the brain in a patient with a high signal intensity in the left frontal
CJ-07-5-g004	histological section of the tumor showing a giant cell carcinoma in the dermis . <EOS>.histological section of the tumor showing a giant cell carcinoma in the dermis with a giant cell carcinoma . <EOS>
IJEM-15-188-g006	magnetic resonance imaging of the brain in a patient with a high signal intensity in the right lobe of the.magnetic resonance imaging of the brain in a patient with a high signal intensity in the right frontal lobe and.magnetic resonance imaging of the brain in a patient with a high signal intensity in the left frontal lobe and
LI-28-216-g002	chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe with.chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe and.chest x-ray of the chest showing a large mass in the right lower lobe of the left lower lobe with
